ID;Bezeichnung (DE);Kommentar (DE);;
165NL;LAVA (NL);NL;;
197NL;OLD FOREST OAK (NL);NL;;
198NL;NEW FOREST OAK (NL);NL;;
204NL;UMBRA (NL);NL;;
206NL;PASTEL BARDOLIA (NL);NL;;
226NL;DARK FOREST OAK (NL);NL;;
270NL;STONE (NL);NL;;
277NL;FOREST BROWN OAK (NL);NL;;
278NL;FOREST FJELL OAK (NL);NL;;
430NL;BLACK (NL);NL;;
602NL;SANDY BEACH (NL);NL;;
605NL;RETROBLAU (NL);NL;;
730NL;CARBON (NL);NL;;
751NL;WHITE (NL);NL;;
752NL;BLOSSOM WHITE (NL);NL;;
763NL;PASTEL GREY (NL);NL;;
765NL;PASTEL SHADOW (NL);NL;;
766NL;PASTEL SMOKE (NL);NL;;
771NL;PASTEL LOAM (NL);NL;;
781NL;KASHMIR (NL);NL;;
851NL;DAYLIGHT GREY (NL);NL;;
875NL;CLAY DARK (NL);NL;;
879NL;BEACH GREY (NL);NL;;
113OL;TERRA GREY (OL);OL;;
114OL;TUNDRA (OL);OL;;
139OL;READY TO PAINT (OL);OL;;
165OL;LAVA (OL);OL;;
197OL;OLD FOREST OAK (OL);OL;;
198OL;NEW FOREST OAK (OL);OL;;
204OL;UMBRA (OL);OL;;
206OL;PASTEL BARDOLIA (OL);OL;;
226OL;DARK FOREST OAK (OL);OL;;
270OL;STONE (OL);OL;;
277OL;FOREST BROWN OAK (OL);OL;;
278OL;FOREST FJELL OAK (OL);OL;;
430OL;BLACK (OL);OL;;
602OL;SANDY BEACH (OL);OL;;
605OL;RETROBLAU (OL);OL;;
730OL;CARBON (OL);OL;;
751OL;WHITE (OL);OL;;
752OL;BLOSSOM WHITE (OL);OL;;
763OL;PASTEL GREY (OL);OL;;
765OL;PASTEL SHADOW (OL);OL;;
766OL;PASTEL SMOKE (OL);OL;;
771OL;PASTEL LOAM (OL);OL;;
781OL;KASHMIR (OL);OL;;
851OL;DAYLIGHT GREY (OL);OL;;
875OL;CLAY DARK (OL);OL;;
879OL;BEACH GREY (OL);OL;;
751QM;WHITE (QM);QM;;
752QM;BLOSSOM WHITE (QM);QM;;
113RI;TERRA GREY (RI);RI;;
114RI;TUNDRA (RI);RI;;
139RI;READY TO PAINT (RI);RI;;
165RI;LAVA (RI);RI;;
197RI;OLD FOREST OAK (RI);RI;;
198RI;NEW FOREST OAK (RI);RI;;
204RI;UMBRA (RI);RI;;
206RI;PASTEL BARDOLIA (RI);RI;;
270RI;STONE (RI);RI;;
277RI;FOREST BROWN OAK (RI);RI;;
278RI;FOREST FJELL OAK (RI);RI;;
430RI;BLACK (RI);RI;;
602RI;SANDY BEACH (RI);RI;;
605RI;RETROBLAU (RI);RI;;
730RI;CARBON (RI);RI;;
751RI;WHITE (RI);RI;;
752RI;BLOSSOM WHITE (RI);RI;;
766RI;PASTEL SMOKE (RI);RI;;
781RI;KASHMIR (RI);RI;;
832RI;WALNUT (RI);RI;;
851RI;DAYLIGHT GREY (RI);RI;;
875RI;CLAY DARK (RI);RI;;
879RI;BEACH GREY (RI);RI;;
139;READY TO PAINT;RP;;
217RW;REAL WOOD NATURE (RW);RW;;
113SC;TERRA GREY (SC);SC;;
114SC;TUNDRA (SC);SC;;
145SC;SNOW (SC);SC;;
165SC;LAVA (SC);SC;;
204SC;UMBRA (SC);SC;;
232SC;VELVET GREEN (SC);SC;;
270SC;STONE (SC);SC;;
430SC;BLACK (SC);SC;;
602SC;SANDY BEACH (SC);SC;;
613SC;RAL (SC);SC;;
615SC;NCS (SC);SC;;
616SC;SIKKENS (SC);SC;;
617SC;FERROW & BALL (SC);SC;;
618SC;PANTONE (SC);SC;;
730SC;CARBON (SC);SC;;
751SC;WHITE (SC);SC;;
752SC;BLOSSOM WHITE (SC);SC;;
781SC;KASHMIR (SC);SC;;
815SC;GRIGIO (SC);SC;;
843SC;MIDNIGHT BLUE (SC);SC;;
844SC;MOSS (SC);SC;;
845SC;DEEP BLUE (SC);SC;;
851SC;DAYLIGHT GREY (SC);SC;;
